TypeOfRequest,RouteNumber,City,From,To,Timings,Comments,Response,Date
New Route,,Bengaluru,Hulimavu (towards Last Stop),Central Silk Board (towards MARATHAHALLI),,"Hulimavu , Via doddakammanahalli , nobel residency, snn raj serenity , begur , bommanahalli , silkboard, btm , jayadeva, billekahalli, arekere ,hulimavu",,13-Jul-16
Increase Frequency,25A,Bengaluru,,,,Request you to increase the frequency of buses from GD Mara(JP nagar 3rd phase),,13-Jul-16
Other,,Bengaluru,,,,"Please put a camera with GPS in BMTC Bus. Inside the bus put a digital advertisement board(tv).In that you can make online advertisement like, how we recharge the mobile currency type. suppose some body want to give a add in particular bus route he will pay the amount by online immediately add will appear on bus screen. it will come transparent. And tie up with internet provider and give a 4G Internet SPEED facility.Please don't Provide free internet make a prepaid card type. who are all use internet they will purchase the prepaid card and use. so u generate a money for running a buses and reduce the ticket price.Everybody will use buses and reduce the pollution and traffic.",,13-Jul-16
New Route,,Bengaluru,Borewell (towards YEMALURU),Bellandur gate (towards MARATHAHALLI),,Add busses from yemlur to bellandur during office hours. It will decongest the roads a lot and also helpful for people like me who like going by bus but forced to take personal vehicle.,,14-Jul-16
New Route,,Bengaluru,Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),Doddanekkundi (towards MARATHAHALLI BRIDGE),,The bus route 505E has very less frequency. Daily we have to wait around 40-45 minutes for the bus. It will be really convenient if more buses are added to this route. I checked online the frequency stated is 1 in an hour. At least 1 in half an hour should be helpful.,,14-Jul-16
New Route,,Bengaluru,Thirumala Daba (towards YELAHANKA),Mekhri Circle (towards TOWARDS HEBBALA),,"We need direct bus between thirumala daba(auttor layout) to Majestic. via, yelahanka 5th phase, wheel and axial factory, Nes, Hebbal. It will help to passenger for both ways travel. some passenger works in ynk 5th phase garments and pvt company and doddaballapur industrial area. it is help to catch the bus without traffic. yelahanka new town is full traffic. please provide bus via yelahanka new town 5th phase and wheel and axial rotue. so both the way is help.",,14-Jul-16
Increase Frequency,600,Bengaluru,,,,need to increase the frequency as people can directly come to krpuram from attibele. It will help rushing the silkboard junction.,,14-Jul-16
Increase Frequency,601,Bengaluru,,,,kindly increase the frequency of 601 once 600 frequency is increased. It will help customer to go back ,,14-Jul-16
New Route,,Bengaluru,Jayanagara 4th Block (towards null),Mayohall (towards TOWARDS M G ROAD),,please provide ac/non ac buses in this route,,14-Jul-16
New Route,,Bengaluru,Mayohall (towards TOWARDS KORAMANGALA),Jayanagara 4th Block (towards null),,provide frequent ac non ac buses in this route,,14-Jul-16
New Route,,Bengaluru,Alada Mara Ramamurthy Nagar (towards BANASAWADI),Domlur (towards TOWARDS HAL),,Please add a bus in this route to help people travelling from Rmnagar to Offices in HAL road (Intel etc.).,,14-Jul-16
Increase Frequency,V-500CB,Bengaluru,,,,"This is for V-500CN route actually from Bannerghatta Park to ITPL and vice versa, Kindly increase the frequency in the evening and morning around 9 AM. ",,14-Jul-16
New Route,,Bengaluru,Vijaya Bank Layout (towards HSBC),Yeshwanthpura TTMC (towards TOWARDS JALAHALLI CROSS),,"We dont have buses going towards Yeshwanthpura.Please make this new route which goes via Bilekahalli,East End,Jayanagar 4th Block,South End,Basavangudi,Chamrajpet,Vijayanagar and Rajajinagar towards Yeshwanthpura.Please make this new route as soon as possible.",,15-Jul-16
Increase Frequency,401RC,Bengaluru,,,,Increase frequency of bus route in morning time,,20-Jul-16
New Route,,Bengaluru,Parangipalya (towards NIFT College),Kempegowda Bus Station (towards TOWARDS JANAPRIYA APARTMENT),,this route has very few buses and the frequency is also very less. commuters in this route are facing a huge problem due to scarcity of buses. kindly look into the matter,,15-Jul-16
New Route,,Bengaluru,St Johns Hospital (towards Central Silk Board),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,User flyover to electronic city for few buses in G3 route,,15-Jul-16
New Route,,Bengaluru,Upkar Residency Layout (towards Upkar Residency Last Stop),Government Soap Factory (towards \N),,This route has very few buses and the frequency is also very less. commuters in this route are facing a huge problem due to scarcity of buses. kindly look into the matter.,,15-Jul-16
New Route,,Bengaluru,Kundala Halli colony (towards MARATHAHALLI),White Field TTMC (towards Last Stop),,"Add more Volvo buses to this route for morning office hours 8-11am, which will cover Whitefield, Hope farm, ITPL. And return buses on same route on evening timings 5-8 pm to Kundalhalli gate which will avoid traffic.",,14-Jul-16
New Route,,Bengaluru,BEML (towards VIGNANA NAGARA),"Marathahalli Bridge (towards AGRAHARA JUNCTION, SARJAPURA ROAD)",,"there is no connectivity from gm palya via basavanagar to marathahali or other routes. people have to travel around via beml gate to HAL then to other places. here auto's are earning , why cant bmtc put buses which connects from gm playa via basavanagar to marathahali.",,16-Jul-16
Other,,Bengaluru,,,,"pls. extend 365W till End of neeladri nagar road.
From Electronics city phase -1 gate to till Wipro gate no 16 there is no residential area...Residential area starts after Wipro gate No 16 , atlest more than 5000 families live on both side of neeladri nagar main road. It makes more sense to extend 1KM extra for 365W towards neeladri nagar main road. ",,18-Jul-16
New Route,,Bengaluru,Kothnuru Kanakapura Road (towards LAST BUS STOP),Kengeri TTMC (towards TOWARDS SHIRKE),,"Kothnur in front of maramadevi temple via harinagar cross, Konankunte cross to Kengeri.",,19-Jul-16
New Route,,Bengaluru,Byappanahalli rly gate (towards \N),Eco Space (towards JUNCTION OF SARJAPURA ROAD),,"It will help if there is a metro feeder service from either byapanahalli or svk station to JP morgan, kadubesanahalli, or sarjapur road",,19-Jul-16
New Route,,Bengaluru,Byappanahalli rly gate (towards \N),Eco Space (towards JUNCTION OF SARJAPURA ROAD),,"Many people work out of Prestige Tech Park, Devarabisanahalli, Ecospace etc.  It would be great if they get buses from Byppanahalli metro station to these places.",,19-Jul-16
New Route,,Bengaluru,Jn of Suranjandas Road (towards HAL),JP Morgen (towards \N),,"Hi - Please provide feeder services between Swami Vivekananda Road station and Kadubeesanahalli via Suranjan das Road, Old Airport Road and Marathhalli Bridge",,19-Jul-16
New Route,,Bengaluru,Rajarajeshwari Temple (towards B.E.M.L. 5TH STAGE),Kalyani Magnum JP Nagara (towards DALMIA),,"This route will help people commuting to Kalyani Magnum tech park from RR Nagar, BEML Layout, Channasandra, Uttarahalli",,19-Jul-16
New Route,,Bengaluru,Tavare Kere (towards DAIRY CIRCLE),Vidyaranyapura (towards null),,"only one direct bus volvo from electronic city to vidyaranyapura. introduce new bus route from tavarekere to vidyaranyapura so that people from suddaguntepalya,maruthinagar,forum mall,christ college,nimhans will be useful. run via corporation,mysore bank,iisc,ramaiah hospital,bel circle",,19-Jul-16
New Route,,Bengaluru,Jigani (towards APC Circle),Central Silk Board (towards ELECTRONIC CITY),,"Dear Sir, There is lot of population that goes from Jigani APC circle towards Silk Board via Electronic City. Currently we have to take a break at Bommasandra and take next bus towards Silk Board. Please introduce a direct bus service between these points",,19-Jul-16
New Route,,Bengaluru,Nagarabhavi BDA Complex (towards KOTTIGEPALYA),Hebbala Bridge (towards TIN FACTORY KR PURAM),,"There are a lot of daily commuters from Nagarabhavi area who go for work around Manyatha Tech park and beyond, but there are no Volvo buses from Nagarabhavi area. It would be good if Volvo buses can be introduced till Hebbala bridge. From Hebbala Bridge there are number of buses (500D) towards Tin Factory and beyond which play on ring road. Pls do the needful. Best Regards",,19-Jul-16
Increase Frequency,MF-1,Bengaluru,,,,"Dear Sir, Requesting you to pls increase frequency of bus service from Swami Vivekananda Metro Station to Marathhalli Bridge. Existing buses (MF-1A) is currently unable to cater to the need especially during the morning and evening. Kindly do the needful. Best Regards",,19-Jul-16
New Route,,Bengaluru,Koramangala (towards null),"Marathahalli Bridge (towards AGRAHARA JUNCTION, SARJAPURA ROAD)",,"Sir,

There are no buses from Koramangala to outer ring road, marathahalli and whitefield. We have to interchange the bus at Agara, which causes lot of traffic jam in Agara. It will be great if Volvo/other services from Koramangala can be started so that it will be useful for so many Koramangala residents.

Renjith",,20-Jul-16
New Route,,Bengaluru,Vijayanagara TTMC (towards G.K.W.LAYOUT),Wipro gate  (towards TOWARDS SHIKARI PALYA),,"Dear Sir/madam,
We already have a bus on 8:00 and 8:30 am. These buses will go via Nice road. but the usage of passengers are HIGH (60+). Check if you want. and the quality of bus of the time 8:00 was very bad. we  raised a complaint more than 4 times till now. ( slow pickup, water fell in from the upside while raining, radiator problem) due to this we are late to the office daily. so i request you to provide one more bus on the time either 7:30 or 8:00. Hope you guys will acknowledge a positive reply.",,21-Jul-16
New Route,,Bengaluru,Bangalore Dairy Circle (towards ADUGODI),MG Road Metro Station (towards TOWARDS MAYO HAL),,"Special buses from metro to areas which has tech parks buses are available.
From Bannerghatta->dairy circle to metro required bus facility",,21-Jul-16
New Route,,Bengaluru,RBI Layout (towards PUTTENAHALLI),JP Nagara 3rd Phase (towards TOWARDS BANNERGHATTA NATIONAL PARK),,Please run a bus in this segment,"?????? 3 ??????? ????????????, ??????? ?????? ?????? ??????? ???????? ??????????????.",08-Oct-15
New Route,,Bengaluru,Baiyappanahalli Satellite Bus Station (towards Last Stop),Maragondanahalli (towards LAST BUS STOP),,"Add a metro feeder service from baiyppanahalli metro station to Margondanahalli along horamavu, kalkere main road. This will be very helpful for the residents",,21-Jul-16
Other,,Bengaluru,,,,Hi  please divert all the 287 buses which run from Shivajinagar to Hebbal towards dasarahalli as this will help people a lot. And wont take much difficulty,,21-Jul-16
Increase Frequency,273C,Bengaluru,,,,"Hello sir there are many people travelling to mathikere, BEL and Jalahalli cross and there are no buses after 9 o clock and around 40 people are waiting since from 9.15 and didn't get any bus if it continues like this then all the passenger will affected by this and please take care of this and please increase the number of buses after 9 o clock and I took Yashwanthpur bus and from there I walked almost 3 km take the action on this",,21-Jul-16
Increase Frequency,K-2,Bengaluru,,,,Vijayanagar to Basaveshwaranagar Metro feeder service is unavailable. Current frequency of K-2 is around 20mins. Please increase frequency.,,22-Jul-16
Increase Frequency,291D,Bengaluru,,,,kindly increase bus frequency for 291D route as many people travel from shivajinagar thru nagvara or provide still more buses as many people work &  travelling is mundane plz sort out. ,,22-Jul-16
Increase Frequency,502F,Bengaluru,,,,"Please Increase number of busses. 
You know, two three busses come at the same time in a racing manner, but the people come after those went, what should they do. 
And next bus comes only after at least with a gap of 15-20 min, where its a peak hour and huge traffic.

Please enquire that.",,22-Jul-16
New Route,,Bengaluru,Channasandra (towards HOPE FARM),"Marathahalli Bridge (towards AGRAHARA JUNCTION, SARJAPURA ROAD)",,There is no bus to Marathalli from Channsandra via EPIP,,23-Jul-16
Increase Frequency,215E,Bengaluru,,,,Please introduce more buses during the peak hour ,"?????? 3 ??????? ????????????, ??????? ?????? ?????? ??????? ???????? ??????????????.
",08-Oct-15
New Route,,Bengaluru,Devarabisanahalli (towards JUNCTION OF SARJAPURA ROAD),Doddakannalli (towards TOWARDS SARJAPURA),,"Via Bellandur - Doddekanalli Route (RMZ Ecoworld, Adarsh Apartment, AET College Junction",,23-Jul-16
New Route,,Bengaluru,Yelahanka Satelite Town (towards TOWARDS YELAHANKA TOWN),K NarayanaPura Cross (towards K NarayanaPura),,"Request you to please put buses from Yelahanka new town to K narayanapura cross
in the morning 8.15 am.  Thank you so much.",,29-Jun-16
